class,order,family,genus,sci_name,papers,status,min_depth,max_depth,year,size_type,size,range_km2,Species Name(RotW),page,chr,achr,NMDS1,NMDS2,NMDS3,uniqueness,sum_GDP_bil,pattern,shape
Chondrichthyes,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,Acroteriobatus annulatus,22,VU,0,75,1841,TL,140,31057,Acroteriobatus annulatus,15,2.713483899,5.742009098,14.4101001,-1.007464889,-2.218871626,14.61469677,397.8645233,Spotted,Wedge
Chondrichthyes,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,Acroteriobatus blochii,1,LC,0,50,1841,TL,96,892,Acroteriobatus blochii,16,1.183450954,2.360351736,10.56773498,1.25415038,0.702001642,10.6650233,474.4349449,Spotted,Wedge
Chondrichthyes,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,Acroteriobatus leucospilus,1,EN,0,100,1926,TL,120,162155,Acroteriobatus leucospilus,17,2.789437462,2.538216687,16.97396169,-1.493012861,-6.935743248,18.39698337,478.7099145,Spotted,Wedge
Chondrichthyes,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,Acroteriobatus ocellatus,1,DD,60,185,1926,TL,81,48915,Acroteriobatus ocellatus,18,2.36211502,7.328139432,5.615050297,-3.620947656,1.275655762,6.802010687,401.2298307,Spotted,Wedge
Chondrichthyes,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,Acroteriobatus omanensis,1,DD,0,100,2016,TL,60,180699,Acroteriobatus omanensis,19,1.55905621,4.996715783,12.96751569,4.058132709,-1.912343212,13.7215874,87.6923277,Spotted,Wedge
Chondrichthyes,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,Acroteriobatus salalah,2,NT,10,100,1995,TL,78,259497,Acroteriobatus salalah,20,0.402881838,1.716752167,15.98848786,8.024071698,-2.028461359,18.0036698,426.237861,Spotted,Wedge
Chondrichthyes,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,Acroteriobatus variegatus,2,CR,0,366,1973,TL,75,397659,Acroteriobatus variegatus,21,4.831043696,3.46568159,16.60150397,3.358616107,-0.990680684,16.9667818,2857.546404,Mottled,Wedge
Chondrichthyes,RHINOPRISTIFORMES,RHINOBATIDAE,Acroteriobatus,Acroteriobatus zanzibarensis,0,NT,NA,NA,1926,TL,NA,5864,Acroteriobatus zanzibarensis,22,1.5906493,3.25910446,19.66622926,6.603547864,-0.46205603,20.7504437,63.54773486,Spotted,Wedge
Chondrichthyes,MYLIOBATIFORMES,AETOBATIDAE,Aetobatus,Aetobatus flagellum,10,EN,0,40,1801,DW,90,1059389,Aetobatus flagellum,612,2.665987601,2.430526025,6.421114721,-16.2091951,4.266251676,17.94908419,7412.62776,None,Diamond
Chondrichthyes,MYLIOBATIFORMES,AETOBATIDAE,Aetobatus,Aetobatus laticeps,5,VU,NA,NA,1865,DW,230,129590,Aetobatus laticeps,613,1.180616752,9.022408136,-15.8739557,2.191249222,-3.367816966,16.37456057,1980.993595,Spotted,Diamond
Chondrichthyes,MYLIOBATIFORMES,AETOBATIDAE,Aetobatus,Aetobatus narinari,97,EN,0,60,1790,DW,226,1548644,Aetobatus narinari,614,0.746898483,4.006582793,-4.242233697,3.911606421,-5.93322376,8.276494169,33443.31158,Spotted,Diamond
Chondrichthyes,MYLIOBATIFORMES,AETOBATIDAE,Aetobatus,Aetobatus narutobiei,3,VU,0,60,2013,DW,150,727292,Aetobatus narutobiei,615,0.521066558,0.950675408,-6.063775974,-4.8445907,-8.602848647,11.58656303,21737.46157,None,Diamond
Chondrichthyes,MYLIOBATIFORMES,AETOBATIDAE,Aetobatus,Aetobatus ocellatus,19,EN,0,40,1823,DW,330,2901301,Aetobatus ocellatus,616,0.315152808,3.950485645,-8.545271542,1.006229478,-6.99464786,11.08869975,60754.56142,Spotted,Diamond
Chondrichthyes,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,Aetomylaeus asperrimus,4,DD,1,50,1898,DW,79,14438,Aetomylaeus asperrimus,594,1.170841695,2.382937273,2.707873479,-3.364186477,-4.478470924,6.221497508,238.1043671,Lined,Diamond
Chondrichthyes,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,Aetomylaeus bovinus,34,CR,0,150,1817,DW,222,1066267,Aetomylaeus bovinus,595,5.65135242,5.288127186,1.257758712,-4.681053301,-6.993645758,8.509130271,10254.99685,Lined,Diamond
Chondrichthyes,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,Aetomylaeus caeruleofasciatus,1,LC,8,117,2015,DW,59,1596138,Aetomylaeus caeruleofasciatus,596,3.179353462,3.283472997,-4.849164629,-1.155184215,-3.379216677,6.022288063,1434.696641,Lined,Diamond
Chondrichthyes,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,Aetomylaeus maculatus,7,EN,0,60,1834,DW,100,866543,Aetomylaeus maculatus,597,4.201148284,4.690946732,-3.954822292,-16.81365639,-8.431408535,19.22051795,20785.78611,Spotted,Diamond
Chondrichthyes,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,Aetomylaeus milvus,0,EN,0,90,1841,DW,123,666403,Aetomylaeus milvus,598,3.679073923,5.293399575,2.034748495,-10.03282849,-4.903964914,11.35106695,2292.058366,Spotted,Diamond
Chondrichthyes,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,Aetomylaeus nichofii,7,VU,5,115,1801,DW,72,8522561,Aetomylaeus nichofii,599,2.237221717,3.361890879,-1.797384755,-3.795406707,-5.512292513,6.92972386,28221.16049,Lined,Diamond
Chondrichthyes,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,Aetomylaeus vespertilio,9,CR,0,110,1852,DW,240,4260217,Aetomylaeus vespertilio,600,1.202304663,7.832999315,-18.49966349,1.095718598,-7.004485464,19.81163711,24657.79961,Lined,Diamond
Chondrichthyes,RAJIFORMES,RAJIDAE,Amblyraja,Amblyraja badia,0,LC,846,2324,1899,TL,NA,4125714,NA,NA,NA,NA,NA,NA,NA,NA,24734.4571,NA,NA
Chondrichthyes,RAJIFORMES,RAJIDAE,Amblyraja,Amblyraja doellojuradoi,14,LC,50,1000,1935,TL,69,905591,Amblyraja doellojuradoi,125,2.878705997,8.076524736,-12.07331069,-3.307824741,9.038937899,15.44049655,3826.452014,Spotted,Rhombus
Chondrichthyes,RAJIFORMES,RAJIDAE,Amblyraja,Amblyraja frerichsi,5,VU,600,2610,1968,TL,176.2,157383,Amblyraja frerichsi,126,0.730864218,3.380637024,0.23950252,6.891096573,0.766334353,6.937711566,5721.563065,Spotted,Rhombus
Chondrichthyes,RAJIFORMES,RAJIDAE,Amblyraja,Amblyraja georgiana,10,DD,20,1255,1938,TL,115,1654511,Amblyraja georgiana,127,1.380548407,6.54275295,-16.96863857,3.186655118,0.435297273,17.27075417,6515.022776,Other,Rhombus
Chondrichthyes,RAJIFORMES,RAJIDAE,Amblyraja,Amblyraja hyperborea,20,LC,260,2500,1879,TL,107,10351825,Amblyraja hyperborea,128,0.76389909,5.854686627,2.282989389,10.47758279,-6.555041588,12.56822788,7657.546536,Mottled,Rhombus
Chondrichthyes,RAJIFORMES,RAJIDAE,Amblyraja,Amblyraja jenseni,1,LC,165,2550,1950,TL,122,3205101,Amblyraja jenseni,129,0.687720348,4.183459999,0.705041553,2.398344797,0.253465447,2.512645237,23603.41086,Other,Rhombus
Chondrichthyes,RAJIFORMES,RAJIDAE,Amblyraja,Amblyraja radiata,122,VU,0,1400,1808,TL,111,4689434,Amblyraja radiata,130,1.287372476,5.559609127,3.974827474,-2.508747456,4.091665711,6.231757018,37765.41104,Spotted,Rhombus
Chondrichthyes,RAJIFORMES,RAJIDAE,Amblyraja,Amblyraja reversa,0,DD,1500,1500,1906,TL,60,7958,Amblyraja reversa,131,0.110920469,1.805897011,22.55121507,25.80030383,-0.067589946,34.26685786,338.5455333,None,Spade
Chondrichthyes,RAJIFORMES,RAJIDAE,Amblyraja,Amblyraja robertsi,0,LC,1150,1350,1970,TL,NA,4561,NA,NA,NA,NA,NA,NA,NA,NA,385.3894234,NA,NA
Chondrichthyes,RAJIFORMES,RAJIDAE,Amblyraja,Amblyraja taaf,2,DD,150,1810,1987,TL,113,488,Amblyraja taaf,132,0.294157404,2.097696337,-15.93836835,5.206748575,1.514451892,16.83553922,4547.840779,Mottled,Rhombus
Chondrichthyes,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,Anacanthobatis marmorata,0,NT,200,435,1923,TL,29,7347,Anacanthobatis marmorata,402,1.731733012,9.386956839,-18.09308767,-5.66969655,0.195219227,18.96162944,401.2298307,Other,Spade
Chondrichthyes,RHINOPRISTIFORMES,PRISTIDAE,Anoxypristis,Anoxypristis cuspidata,34,CR,0,128,1794,TL,350,5159853,Anoxypristis cuspidata,0,0.733653085,6.022841162,-0.385299923,7.964524112,0.21779301,7.976812281,23822.78392,None,Wedge
Chondrichthyes,RHINOPRISTIFORMES,TRYGONORRHINIDAE,Aptychotrema,Aptychotrema rostrata,20,LC,0,220,1794,TL,120,329018,Aptychotrema rostrata,52,1.317454931,4.718350907,12.11450062,4.016461003,0.823082545,12.78947024,1410.266438,Mottled,Wedge
Chondrichthyes,RHINOPRISTIFORMES,TRYGONORRHINIDAE,Aptychotrema,Aptychotrema timorensis,0,VU,124,124,2004,TL,58,3306,Aptychotrema timorensis,53,0.736672906,3.826787759,11.90030411,6.841370081,-1.818440281,13.84659913,1410.266438,Spotted,Wedge
Chondrichthyes,RHINOPRISTIFORMES,TRYGONORRHINIDAE,Aptychotrema,Aptychotrema vincentiana,6,LC,0,125,1885,TL,100,751321,Aptychotrema vincentiana,54,0.939023985,5.287837012,11.51307562,1.781154914,-1.313923684,11.72389946,1410.266438,Mottled,Wedge
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Arctoraja,Arctoraja sexoculata,2,DD,150,150,2020,TL,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Arhynchobatis,Arhynchobatis asperrimus,1,DD,1095,1095,1909,TL,75,128939,Arhynchobatis asperrimus,279,1.278291964,6.206987437,-18.22983403,-1.575317832,0.760486837,18.31356916,213.0179479,None,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,Atlantoraja castelnaui,29,CR,0,300,1907,TL,147,702976,Atlantoraja castelnaui,280,1.250147685,15.09415682,-2.462463156,-3.421404661,7.307357003,8.436065494,2534.86601,Spotted,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,Atlantoraja cyclophora,14,EN,0,320,1903,TL,74,591710,Atlantoraja cyclophora,281,1.396157482,4.239179475,4.048386523,6.416959502,7.869444819,10.93137523,2534.86601,Spotted,Rhombus
