Authors,Title,Year,Source_title,DOI,Abstract,Author_Keywords,Index_Keywords,Language,Document_Type,Publication_Stage
Conceição K.; Monteiro-dos-Santos J.; Seibert C.S.; Ismael Silva P.; Marques E.E.; Richardson M.; Lopes-Ferreira M.,Potamotrygon cf. henlei stingray mucus: Biochemical features of a novel antimicrobial protein,2012,Toxicon,10.1016/j.toxicon.2012.05.025,"Antimicrobial molecules are important components of the innate immune system in vertebrates. They have been studied widely in several fishes, but little is known about these defence factors in stingrays, which are thought to have less sophisticated adaptive immune systems when compared to other teleosts. Stingrays from the specie Potamotrygon cf. henlei are distributed throughout the rivers of central-west Brazil, being the cause of numerous envenomations occurring in the dry seasons.In a previous study, we reported that the mucus of the stingray P. cf. henlei shows antimicrobial effects. Here, to analyze the antimicrobial compounds from the mucus of P. cf. henlei, we employed solid-phase extraction, chromatographic separation followed by ESI-MS, and Edman degradation. A protein similar to the β-chain of hemoglobin was identified, isolated and partially sequenced by Edman degradation. This protein has a molecular weight of 16072.8 Da, and was shown to be active against bacteria (Micrococcus luteus and Escherichiacoli) and yeast (Candida tropicalis) without hemolytic activity. Effects of this new protein in the microcirculation environment were also evaluated. The results obtained provide fundamental information for future basic research, clinical diagnosis and development of new therapies to accident treatment. To the best of our knowledge, this is the first description of a bioactive polypeptide from the mucus of a stingray. © 2012 Elsevier Ltd.",Antimicrobial; Hemoglobin; Mucus; Potamotrygon; Stingray,"Amino Acid Sequence; Analysis of Variance; Animals; Antimicrobial Cationic Peptides; Base Sequence; Brazil; Candida tropicalis; Chromatography; Electrophoresis, Polyacrylamide Gel; Erythrocytes; Escherichia coli; Hemolysis; Humans; Male; Mass Spectrometry; Mice; Microcirculation; Micrococcus luteus; Molecular Sequence Data; Mucus; Sequence Analysis, DNA; Skates (Fish); Solid Phase Extraction; Candida tropicalis; Dasyatidae; Micrococcus luteus; Pisces; Potamotrygon; Teleostei; Vertebrata; hemoglobin beta chain; tetracycline; amino acid sequence; animal tissue; antibacterial activity; antifungal activity; article; beta chain; Candida tropicalis; controlled study; drug screening; electrospray mass spectrometry; Escherichia coli; female; fish; hemolysis; human; human cell; male; Micrococcus luteus; minimum inhibitory concentration; molecular weight; mouse; mucus; nonhuman; nucleotide sequence; Potamotrygon henlei; priority journal; protein isolation; solid phase extraction",English,Article,Final
Coelho R.; Fernandez-Carvalho J.; Lino P.G.; Santos M.N.,An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean,2012,Aquatic Living Resources,10.1051/alr/2012030,"Hooking (or ""at-haulback"") fishing mortality was analysed in elasmobranchs captured by Portuguese longliners targeting swordfish in the Atlantic Ocean. Information was collected by on-board fishery observers who monitored 834 longline fishing sets between August 2008 and December 2011, and recorded information on 36? 067 elasmobranch specimens from 21 different taxa. The hooking mortality proportions were species-specific, with some species having relatively high percentages of live specimens at time of haulback (e.g., blue shark, crocodile shark, pelagic stingray, manta, devil and eagle rays), while others had higher percentages of dead specimens (e.g., smooth hammerhead, silky shark, bigeye thresher). For the most captured species (Prionace glauca, Pseudocarcharias kamoharai, Isurus oxyrinchus and Alopias superciliosus), logistic generalized linear models (GLMs) were carried out to compare the mortality rates between sexes, specimen sizes and the regions of operation of the fleet. The sex-specific proportions of hooking mortality were significantly different for blue and crocodile sharks, with the males of both species having higher proportions of hooking mortality than the females. Specimen size was significant for predicting the hooking mortality for blue and shortfin mako sharks: in both cases, the larger specimens had lower odds of dying due to the fishing process. There were differences in the hooking mortality depending on the region of operation of the fleet, but those differences were also species-specific. For blue and crocodile sharks, the hooking mortality was higher in the Equatorial and southern Atlantic areas (when compared to the NE Atlantic region), while the opposite was observed for the shortfin mako, with lower mortality rates in the NE tropical area compared with the other regions. The results presented in this paper can be integrated into future ecological risk assessment analysis for pelagic elasmobranchs. Furthermore, the new information can be used to evaluate the impact of recent recommendations prohibiting the retention of some vulnerable elasmobranch species. ©2012 EDP Sciences, IFREMER, IRD.",Atlantic Ocean; Bycatch; Discards; Hooking mortality; Pelagic longline fisheries; Rays; Sharks,Atlantic Ocean; Alopias superciliosus; Carcharhinus falciformis; Chondrichthyes; Elasmobranchii; Isurus; Isurus oxyrinchus; Manta; Myliobatinae; Prionace glauca; Pseudocarcharias kamoharai; Pseudocarchariidae; Pteroplatytrygon violacea; Sphyrna zygaena; Xiphias gladius; bycatch; crocodilian; fishery management; fishing mortality; linearity; pelagic fishery; risk assessment; shark; taxonomy,English,Review,Final
Gleeson R.J.; Adlard R.D.,"Phylogenetic relationships amongst Chloromyxum Mingazzini, 1890 (Myxozoa: Myxosporea), and the description of six novel species from Australian elasmobranchs",2012,Parasitology International,10.1016/j.parint.2011.10.008,"Six novel species of Chloromyxum Mingazzini, 1890 are described using a whole evidence approach combining morphometric and molecular data, together with features of their biology. Elasmobranchs were collected in Australian waters, from the Great Barrier Reef, Queensland, off Lizard and Heron Islands; from Moreton Bay, southeast Queensland; off Hobart, Tasmania; and from the Tamar River, Launceston, Tasmania. The novel species proposed here are: Chloromyxum hemiscyllii n.sp. from Hemiscyllium ocellatum; Chloromyxum kuhlii n.sp. from Neotrygon kuhlii; Chloromyxum lesteri n.sp. from Cephaloscyllium laticeps; Chloromyxum mingazzinii n.sp. from Pristiophorus nudipinnis; Chloromyxum myliobati n.sp. from Myliobatis australis; and Chloromyxum squali n.sp. from Squalus acanthias. A seventh species from Squalus acanthias is also reported but due to limited material is not formally described. Molecular phylogenetic analyses revealed that the genus Chloromyxum is polyphyletic, and species from elasmobranchs form a well-supported sister clade, with the type species Chloromyxum leydigi, to all other congeneric species clustering within the freshwater myxosporean clade. Morphological analysis showed that elasmobranch-infecting species are predominantly pyriform shaped, have clearly thickened spore apex and possess caudal filaments, compared to other Chloromyxum species which are generally spherical or subspherical, and lack caudal filaments. These morphological and phylogenetic data provide further support for the erection of new genera, but we conservatively consider the species described in this study and other elasmobranch-infecting Chloromyxum species as Chloromyxum sensu strictu, whilst the freshwater teleost infecting and amphibian infecting species we will assign as Chloromyxum sensu lato, until more comprehensive data are available. © 2011.",Bivalvulida; Chloromyxum; Diversity; Elasmobranch; Molecular phylogeny; Myxosporea,"Animals; Australia; DNA, Protozoan; DNA, Ribosomal; Elasmobranchii; Female; Fish Diseases; Myxozoa; Parasitic Diseases, Animal; Phylogeny; Species Specificity; Spores, Protozoan; Amphibia; Bivalvulida; Cephaloscyllium laticeps; Chloromyxum; Chloromyxum leydigi; Elasmobranchii; Hemiscyllium ocellatum; Myliobatis australis; Myxosporea; Myxozoa; Pristiophorus nudipinnis; Squalus acanthias; Squamata; Teleostei; ribosome DNA; article; Chloromyxum; Chloromyxum hemiscyllii; Chloromyxum kuhlii; Chloromyxum lesteri; Chloromyxum mingazzinii; Chloromyxum myliobati; Chloromyxum squali; microbial diversity; Myxozoa; myxozoan spore; nonhuman; nucleotide sequence; phylogeny; priority journal",English,Article,Final
Moore A.B.M.,"Records of poorly known batoid fishes from the north-western Indian Ocean (Chondrichthyes: Rhynchobatidae, Rhinobatidae, Dasyatidae, Mobulidae)",2012,African Journal of Marine Science,10.2989/1814232X.2012.675129,"Records are presented of several species of batoid fish from the north-western Indian Ocean that are poorly known, of taxonomic interest, or of conservation concern. For the Persian (Arabian) Gulf, the first records of Rhinobatos halavi, Himantura fai, and the first substantiated record of a devil ray (Mobulidae), provisionally identified as Mobula cf. eregoodootenkee, are presented. Literature on mobulids in the Persian Gulf area is briefly reviewed, and a historic record of Manta birostris extends the known range of this species to the Arabian Sea off Pakistan. New records of Himantura granulata from the Gulf of Aden and the Gulf of Aqaba are the first for the continental coast of the western Indian Ocean. The existence of a distinctive Rhynchobatus guitarfish from the Arabian Sea requiring taxonomic clarification is reported. © 2012 Copyright NISC (Pty) Ltd.",Arabian Gulf; elasmobranch; guitarfish; Gulf of Aden; Persian Gulf; ray; Red Sea,Arabian Sea; Gulf of Aden; Gulf of Aqaba; Indian Ocean; Indian Ocean (Northwest); Pakistan; Persian Gulf; Red Sea [Indian Ocean]; fish; geographical distribution; new record; new species; range size; taxonomy; zoogeography,English,Article,Final
Wilga C.A.D.; Stoehr A.A.; Duquette D.C.; Allen R.M.,Functional ecology of feeding in elasmobranchs,2012,Environmental Biology of Fishes,10.1007/s10641-011-9781-7,"Feeding behavior in the species of captive chondrichthyans is studied to clarify the functional mechanisms responsible for feeding ecology. Kinematics and pressure in the buccal, hyoid and pharyngeal regions were quantified in Squalus acanthias, Chiloscyllium plagiosum and Leucoraja erinacea using sonomicrometry and pressure transducers. Means and coefficients of variation were analyzed by species and by behavior to test for stereotypy and flexibility in the feeding mechanism. Several instances of mechanical stereotypy as well as flexibility were found in the feeding kinematics and pressure of the three chondrichthyan species. In general, Squalus acanthias shows more stereotyped feeding behavior than C. plagiosum and L. erinacea. Different aspects of feeding behavior stand out among the three species. Chiloscyllium plagiosum generates lowest pressures, S. acanthias achieves the greatest area changes, and L. erinacea has longer durations for manipulating prey. Capture events are functionally and behaviorally stereotyped while processing events are functionally and behaviorally flexible with the ability to use suction or compression to process the same food item. Squalus acanthias is a functional specialist and C. plagiosum is functionally a generalist, with both species exhibiting behavioral flexibility. Leucoraja erinacea is a functional and behavioral generalist. Using functional morphology to explain mechanical stereotypy and flexibility in the feeding behavior of three suction feeding chondrichthyan species has allowed a better understanding of specialist and generalist trophic behaviors. © 2011 Springer Science+Business Media B.V.",Chiloscyllium; Functional morphology; Leucoraja; Pressure; Sonomicrometry; Squalus,Chiloscyllium; Chiloscyllium plagiosum; Elasmobranchii; Leucoraja; Leucoraja erinacea; Squalus; Squalus acanthias; captive population; feeding behavior; feeding mechanism; fish; functional change; functional morphology; generalist; kinematics; marine ecosystem; pressure effect; specialist,English,Article,Final
Schaeffner B.C.; Beveridge I.,"Prochristianella Dollfus, 1946 (Trypanorhyncha: Eutetrarhynchidae) from elasmobranchs off Borneo and Australia, including new records and the description of four new species",2012,Zootaxa,10.11646/zootaxa.3505.1.1,"Prochristianella cairae n. sp. is described from the spiral intestines of two species of bamboo sharks, Chiloscyllium punctatum Müller & Henle and Chiloscyllium indicum (Gmelin) (Hemiscyllidae) off the coast of Malaysian Borneo. The species is distinguished from congeners by enlarged microtriches covering the whole scolex peduncle, a unique arrangement of hooks on the basal swelling, a dissimilar number of hooks in each principle row in the metabasal armature and hook files 1 and 1' not being distinctly separated. Prochristianella jensenae n. sp. is described from the spiral intestines of three species of whiptail stingrays, Pastinachus solocirostris Last & Manjaji-Matsumoto, Pastinachus atrus (Macleay) and Pastinachus gracilicaudus Last & Manjaji-Matsumoto (Dasyatidae) from coastal waters off Indonesian and Malaysian Borneo and Western Australia, from Himantura uarnak (Gmelin) (Dasyatidae) off Nickol Bay, Western Australia and from Rhinoptera neglecta Ogilby (Myliobatidae) off Weipa, Queensland, Australia. This species lacks gland-cells within the tentacular bulbs, one of the most distinctive features of this family. Prochristianella kostadinovae n. sp. is described from the spiral intestines of Himantura uarnak 2 (Dasyatidae) (sensu Naylor et al. 2012) from the Gulf of Carpenteria. It differs from congeners in its metrical data, a metabasal tentacular armature with 10 hooks per principle row, hooks 1(1') being uncinate with an elongate base and widely spaced and hooks 4(4') smaller than neighbouring hooks 3(3') and 5(5'). Prochristianella scholzi n. sp. is described from specimens of the Taeniura lymma species complex (Dasyatidae) (sensu Naylor et al. 2012) from three localities in Malaysian and Indonesian Borneo. This species has arrays of billhooks on the basal swelling, but differs from similar congeners in having very few, tiny gland-cells within the tentacular bulbs and a metabasal tentacular armature with 9-10 hooks per half spiral row and hooks 4(4') being much smaller than the neighbouring hooks 3(3') and 5(5'). Examinations of new material from northern Australia and Indonesian and Malaysian Borneo provided additional information on Prochristianella aciculata Beveridge & Justine, 2010, Prochristianella butlerae Beveridge, 1990 and Prochristianella clarkeae Beveridge, 1990. In total, 17, 7 and 29 (respectively) new host records and 14, 9 and 28 (respectively) new locality records are added. These records extend the geographical range of all three species in the Australasian region and also represents the first record of P. aciculata from Australian waters and the first record of P. butlerae from the Indo-Malayan region. Prochristianella clarkeae is the least host specific taxon within Prochristianella, infecting 43 different host species. © 2012.Magnolia Press.",Cestoda; New geographical record; New host record; Prochristianella aciculata; Prochristianella butlerae; Prochristianella cairae n. sp.; Prochristianella clarkeae; Prochristianella jensenae n. sp.; Prochristianella kostadinovae n.sp.; Prochristianella macracantha; Prochristianella scholzi n.sp.,Aciculata; Cestoda; Chiloscyllium indicum; Chiloscyllium punctatum; Chondrichthyes; Dasyatidae; Elasmobranchii; Eutetrarhynchidae; Hemiscylliidae; Himantura uarnak; Myliobatidae; Pastinachus; Prochristianella; Rhinoptera neglecta; Taeniura lymma; Teiidae; Trypanorhyncha,English,Article,Final
Ajemian M.J.; Powers S.P.; Murdoch T.J.T.,Estimating the potential impacts of large mesopredators on benthic resources: Integrative assessment of spotted eagle ray foraging ecology in Bermuda,2012,PLoS ONE,10.1371/journal.pone.0040227,"Declines of large sharks and subsequent release of elasmobranch mesopredators (smaller sharks and rays) may pose problems for marine fisheries management as some mesopredators consume exploitable shellfish species. The spotted eagle ray (Aetobatus narinari) is the most abundant inshore elasmobranch in subtropical Bermuda, but its predatory role remains unexamined despite suspected abundance increases and its hypothesized specialization for mollusks. We utilized a combination of acoustic telemetry, benthic invertebrate sampling, gut content analysis and manipulative experiments to assess the impact of spotted eagle rays on Bermudian shellfish resources. Residency and distribution of adult spotted eagle rays was monitored over two consecutive summers in Harrington Sound (HS), an enclosed inshore lagoon that has historically supported multiple recreational and commercial shellfish species. Telemetered rays exhibited variable fidelity (depending on sex) to HS, though generally selected regions that supported relatively high densities of potential mollusk prey. Gut content analysis from rays collected in HS revealed a diet of mainly bivalves and a few gastropods, with calico clam (Macrocallista maculata) representing the most important prey item. Manipulative field and mesocosm experiments with calico clams suggested that rays selected prey patches based on density, though there was no evidence of rays depleting clam patches to extirpation. Overall, spotted eagle rays had modest impacts on local shellfish populations at current population levels, suggesting a reduced role in transmitting cascading effects from apex predator loss. However, due to the strong degree of coupling between rays and multiple protected mollusks in HS, ecosystem-based management that accounts for ray predation should be adopted. © 2012 Ajemian et al.",,Animals; Bermuda; Bivalvia; Ecology; Ecosystem; Food Chain; Gastropoda; Predatory Behavior; Shellfish; Skates (Fish); Aetobatus narinari; Bivalvia; Chondrichthyes; Gastropoda; Invertebrata; Macrocallista maculata; Mollusca; Myliobatinae; acoustic technology; article; benthic fauna; Bermuda; female; field experiment; foraging behavior; habitat use; male; nonhuman; predator prey interaction; predator stress; quantitative analysis; species distribution; stomach content; telemetry,English,Article,Final
Grijalba-Bendeck M.; Polo-Silva C.; Acevedo K.; Moreno F.; Mojica D.,"Trophic and reproductive aspects of some batoids caught at Santa Marta in the Colombian Caribbean Sea; [Aspectos tróficos y reproductivos de algunos batoideos capturados en Santa Marta, Mar Caribe de Colombia]",2012,Latin American Journal of Aquatic Research,10.3856/vol40-issue2-fulltext-6,"This paper presents the reproductive condition and feeding spectrum of four batoid species caught as bycatch by artisanal fishermen in two sectors of the Colombian Caribbean Sea between August 2005 and September 2006. Specimens were evaluated from a total of 570 hauls done off Salguero beach and 149 off Don Jaca, with sampling periods of 12 to 26 days per month. The total and relative abundance of the batoids caught were determined, as were the sexual proportion and representativity of each sexual maturity stage. Specimens sampled were: 176 Narcine bancroftii (127 females, 49 males); 167 Rhinobatos percellens (83 females, 84 males); 237 Urotrygon venezuelae (126 females, 111 males), and 119 Dasyatis guttata (58 females, 61 males). Although specimens from all stages of maturity were caught, the immature (I) and mature (III) stages were dominant. Based on the sexual proportion obtained, no marked spatial-temporal segregation was observed. The overall diet consisted of crustaceans, annelids, and teleosts, with unique food preferences that allow the sampled species to avoid interspecific competition.",Artisanal fishery; Batoidea; Caribbean Sea; Colombia; Feeding habits; Reproductive biology,Annelida; Batoidea; Crustacea; Dasyatis guttata; Narcine bancroftii; Rhinobatos percellens; Teleostei; Urotrygon venezuelae,English,Article,Final
Yamaguchi A.; Furumitsu K.; Tanaka S.; Kume G.,"Dietary habits of the fanray Platyrhina tangi (Batoidea: Platyrhinidae) in Ariake Bay, Japan",2012,Environmental Biology of Fishes,10.1007/s10641-011-9792-4,"The dietary habits of the fanray Platyrhina tangi were investigated by analyzing the stomach contents of specimens collected in Ariake Bay, Japan. Of 334 stomach specimens, 324 contained food and 10 (3. 0%) were empty. The mean percentage weight of stomach contents per unit of body weight was 0. 59%. Thirty-seven taxonomic levels of prey were identified. The most common prey was shrimp, followed by fish and mysids. There were no differences in the composition of the diet between sexes, but an ontogenetic dietary shift was observed. Shrimps were the most common prey in all size classes. In addition, smaller individuals frequently ate mysids, and larger individuals often consumed fish. Dietary breadth values increased with size. Trophic level analysis revealed that trophic level increased with size; however, this species is consistently a secondary consumer. Dental sexual dimorphism was also observed. Specifically, mature males had much longer and sharper cusps than females and immature males. Since males and females had similar diets, dental sexual dimorphism may be related to their reproductive behaviour. © 2011 Springer Science+Business Media B.V.",Dental sexual dimorphism; Elasmobranch; Ontogenetic dietary shift; Platyrhina tangi,Ariake Bay; Japan; Kyushu; Batoidea; Decapoda (Crustacea); Mysida; Platyrhina; Platyrhinidae; body mass; diet; dietary shift; fish; marine ecosystem; ontogeny; sexual dimorphism; stomach content; trophic level,English,Article,Final
Ruocco N.L.; Lucifora L.O.; de Astarloa J.M.D.; Mabragaña E.; Delpiani S.M.,Morphology and DNA barcoding reveal a new species of eagle ray from the southwestern Atlantic: Myliobatis ridens sp. nov. (Chondrichthyes: Myliobatiformes: Myliobatidae),2012,Zoological Studies,,"Morphology and DNA barcoding reveal a new species of eagle ray from the southwestern Atlantic: Myliobatis ridens sp. nov. (Chondrichthyes: Myliobatiformes: Myliobatidae). Zoological Studies 51(6): 862-873. Two species of Myliobatis, the southern eagle ray M. goodei Garman and the bullnose eagle ray M. freminvillii Le Sueur, have long been recognized to occur in coastal Argentinean waters. Several unusual specimens belonging to the family Myliobatidae were recently collected off Buenos Aires Province, Argentina. These specimens clearly belong to the genus Myliobatis, since they have a broad disk with long sharply pointed pectoral fins, a projecting snout, a very long and thin tail, and a smaller dorsal fin set farther back on the tail, well beyond the pelvic fins. However, the specimens were distinct from all sympatric congeners in several characters, and they are described here as a new species. Myliobatis ridens sp. nov. is distinguished from M. goodei in having a relatively shorter snout, a wider interorbital space, a wider mouth, and different shapes of the ventral and dorsal marginal cartilages of the claspers than the latter; and from M. freminvillii by having smaller eyes, a smaller dorsal fin, a plain dorsal coloration, and a different shape of the dorsal marginal cartilage of the claspers. In order to test this morphological differentiation, cytochrome c oxidase subunit I (COI) sequence data were obtained from the new species and compared to those of its congeners. Analysis of COI sequences showed a congeneric sequence divergence of > 6%, supporting species differentiation. Therefore combining both traditional taxonomy and DNA barcoding, a new eagle ray species, M. ridens sp. nov., from the Southwest Atlantic Ocean was discovered.",Argentina; Cytochrome c oxidase subunit I gene; Elasmobranchii; Myliobatis; South America,Chondrichthyes; Elasmobranchii; Myliobatidae; Myliobatiformes; Myliobatinae; Myliobatis; Myliobatis freminvillii; Myliobatis goodei,English,Article,Final
