"sci_name","synonyms"
"""Acroteriobatus annulatus""","""Acroteriobatus annulatus"" OR ""Rhinobatos annulatus"""
"""Acroteriobatus blochii""","""Acroteriobatus blochii"" OR ""Rhinobatos blochii"""
"""Acroteriobatus leucospilus""","""Acroteriobatus leucospilus"" OR ""Rhinobatos leucospilus"""
"""Acroteriobatus ocellatus""","""Acroteriobatus ocellatus"" OR ""Rhinobatos ocellatus"""
"""Acroteriobatus omanensis""","""Acroteriobatus omanensis"""
"""Acroteriobatus salalah""","""Acroteriobatus salalah"" OR ""Rhinobatos salalah"""
"""Acroteriobatus variegatus""","""Acroteriobatus variegatus"" OR ""Rhinobatos variegatus"""
"""Acroteriobatus zanzibarensis""","""Acroteriobatus zanzibarensis"" OR ""Rhinobatos zanzibarensis"""
"""Aetobatus flagellum""","""Aetobatus flagellum"" OR ""Raja flagellum"""
"""Aetobatus laticeps""","""Aetobatus laticeps"" OR ""Aetobatis laticeps"""
"""Aetobatus narinari""","""Aetobatus narinari"" OR ""Raja narinari"""
"""Aetobatus narutobiei""","""Aetobatus narutobiei"""
"""Aetobatus ocellatus""","""Aetobatus ocellatus"" OR ""Aetobatus guttatus"" OR ""Myliobatus ocellatus"" OR ""Aetomylaeus ocellatus"" OR ""Raja mula"" OR ""Raja guttata"" OR ""Myliobatis macroptera"" OR ""Aetobatus punctatus"" OR ""Myliobatis eeltenkee"""
"""Aetomylaeus asperrimus""","""Aetomylaeus asperrimus"" OR ""Pteromylaeus asperrimus"" OR ""Myliobatis asperrimus"""
"""Aetomylaeus bovinus""","""Aetomylaeus bovinus"" OR ""Pteromylaeus bovina"" OR ""Pteromylaeus bovinus"" OR ""Myliobatis bovina"""
"""Aetomylaeus caeruleofasciatus""","""Aetomylaeus caeruleofasciatus"""
"""Aetomylaeus maculatus""","""Aetomylaeus maculatus"" OR ""Myliobatus maculatus"""
"""Aetomylaeus milvus""","""Aetomylaeus milvus"" OR ""Myliobatis milvus"""
"""Aetomylaeus nichofii""","""Aetomylaeus nichofii"" OR ""Raja niehofii"" OR ""Raja nichofii"" OR ""Aetomylus huletti"""
"""Aetomylaeus vespertilio""","""Aetomylaeus vespertilio"" OR ""Aetomylaeus reticulates"" OR ""Myliobatis vespertilio"""
"""Amblyraja badia""","""Amblyraja badia"" OR ""Raja badia"""
"""Amblyraja doellojuradoi""","""Amblyraja doellojuradoi"" OR ""Raja doellojuradoi"""
"""Amblyraja frerichsi""","""Amblyraja frerichsi"" OR ""Raja frerichsi"""
"""Amblyraja georgiana""","""Amblyraja georgiana"" OR ""Raja georgiana"""
"""Amblyraja hyperborea""","""Amblyraja hyperborea"" OR ""Raja hyperborea"""
"""Amblyraja jenseni""","""Amblyraja jenseni"" OR ""Raja jenseni"""
"""Amblyraja radiata""","""Amblyraja radiata"" OR ""Raja radiata"" OR ""Raia scabrata"""
"""Amblyraja reversa""","""Amblyraja reversa"" OR ""Raia reversa"""
"""Amblyraja robertsi""","""Amblyraja robertsi"" OR ""Raja robertsi"""
"""Amblyraja taaf""","""Amblyraja taaf"" OR ""Raja taaf"""
"""Anacanthobatis marmorata""","""Anacanthobatis marmorata"" OR ""Leiobatis marmoratus"" OR ""Anacanthobatis marmoratus"""
"""Anoxypristis cuspidata""","""Anoxypristis cuspidata"" OR ""Pristis cuspidatus"""
"""Aptychotrema rostrata""","""Aptychotrema rostrata"" OR ""Raja rostrata"""
"""Aptychotrema timorensis""","""Aptychotrema timorensis"""
"""Aptychotrema vincentiana""","""Aptychotrema vincentiana"" OR ""Rhinobates vincentianus"""
"""Arctoraja sexoculata""","""Arctoraja sexoculata"" OR ""Bathyraja sexoculata"""
"""Arhynchobatis asperrimus""","""Arhynchobatis asperrimus"""
"""Atlantoraja castelnaui""","""Atlantoraja castelnaui"" OR ""Raja castelnaui"""
"""Atlantoraja cyclophora""","""Atlantoraja cyclophora"" OR ""Raia cyclophora"""
"""Atlantoraja platana""","""Atlantoraja platana"" OR ""Raja platana"""
"""Bathyraja abyssicola""","""Bathyraja abyssicola"" OR ""Raja abyssicola"""
"""Bathyraja aguja""","""Bathyraja aguja"" OR ""Raia aguja"""
"""Bathyraja albomaculata""","""Bathyraja albomaculata"" OR ""Rhinoraja albomaculata"" OR ""Raja albomaculata"""
"""Bathyraja aleutica""","""Bathyraja aleutica"" OR ""Raja aleutica"""
"""Bathyraja andriashevi""","""Bathyraja andriashevi"""
"""Bathyraja arctowskii""","""Bathyraja arctowskii"" OR ""Raja arctowskii"""
"""Bathyraja bergi""","""Bathyraja bergi"" OR ""Bathyraja pseudoisotrachys"""
"""Bathyraja brachyurops""","""Bathyraja brachyurops"" OR ""Raja brachyurops"""
"""Bathyraja cousseauae""","""Bathyraja cousseauae"""
